lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas
-23.49,148.85,"Queensland, Australia",Área de Mineração,Alta,"O endereço explicitamente menciona 'Curragh Mine' em Blackwater, Queensland, uma região conhecida por mineração de carvão. O tipo OSM é 'landuse/industrial' e o monitoramento SAR em alta resolução (0.295m) com frequência regular é típico para operações de mineração. A localização no interior de Queensland, longe da costa, reforça tratar-se de atividade extrativa mineral.",8,2025-03-19,2025-05-03,capella-13
19.41,-155.27,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.41, -155.27) localizam-se no Havaí County, Hawaii, região conhecida mundialmente por intensa atividade vulcânica, incluindo o Kilauea e Mauna Loa. O monitoramento SAR com alta resolução (0.284m) e múltiplas plataformas sugere monitoramento de deformação do solo ou mudanças topográficas típicas de atividade geológica. A ausência de artigos Wikipedia no raio de 100km indica área remota/natural, consistente com regiões vulcânicas ativas.",8,2025-01-04,2025-03-10,"capella-13, capella-10, capella-14"
34.8,-118.06,"California, United States",Base Militar,Média,"As coordenadas estão no Condado de Los Angeles, uma região conhecida por várias instalações militares e aeroespaciais. O padrão de monitoramento SAR com frequência regular (28.6 dias) e resolução muito alta (0.425m) sugere vigilância de infraestrutura sensível. A localização no Pacífico Norte (região com concentração de bases militares americanas) reforça essa classificação.",8,2021-03-13,2021-09-30,capella-3
35.27,-75.52,"North Carolina, United States",Costa / Oceano,Alta,"As coordenadas (35.27, -75.52) situam-se em Dare County, Carolina do Norte, uma região costeira conhecida pelos Outer Banks. O endereço 'Buxton Oaks RV Park' indica um parque de trailers recreativo típico de áreas turísticas costeiras. A ausência de sinais de porto organizado, mineração ou agricultura, combinada com a localização geográfica na costa atlântica dos EUA, caracteriza claramente uma área costeira/oceânica.",8,2024-05-09,2024-08-17,"capella-10, capella-14, capella-9"
38.33,-77.04,"Dahlgren Center, Virginia, United States",Base Militar,Alta,"O endereço 'Dahlgren Center' em King George County, Virginia, combinado com monitoramento SAR de alta resolução (0.353m) usando múltiplas plataformas da Capella Space, indica forte probabilidade de instalação militar. A região da Virginia é conhecida por bases militares e centros de pesquisa da Marinha dos EUA, e o padrão de monitoramento sistemático sugere interesse em infraestrutura crítica ou sensível.",8,2022-10-11,2023-02-24,"capella-3, capella-5, capella-8"
38.38,-0.42,"Alacant / Alicante, Comunitat Valenciana, España",Zona Urbana,Média,"Localização em Alicante, cidade costeira mediterrânea espanhola, com tipo OSM 'boundary/administrative' indicando área administrativa urbana. O monitoramento intensivo (2.8 dias) com alta resolução (0.32m) sugere área urbana densa, mas sem sinais específicos de porto, base militar ou outras categorias especializadas no endereço fornecido.",7,2025-05-08,2025-05-26,capella-13
-25.35,131.03,Australia,Área de Mineração,Alta,"As coordenadas estão localizadas em Petermann, Northern Territory, uma região central árida da Austrália conhecida por atividades de mineração. O monitoramento SAR extremamente intensivo (6 imagens em 5 dias) com alta resolução (0.27m) indica operações industriais que requerem acompanhamento frequente, típico de sites de mineração. A ausência de contexto urbano ou agrícola na região desértica reforça a classificação como área de mineração.",6,2025-07-28,2025-08-03,capella-13
-14.51,132.38,"Tindal, Australia",Base Militar,Alta,"Tindal é uma localidade no Northern Territory da Austrália conhecida por abrigar a RAAF Base Tindal, uma importante base aérea militar. O monitoramento SAR com alta resolução (0.34m) e múltiplas plataformas sugere interesse em infraestrutura sensível. A ausência de artigos Wikipedia no raio de 100km é consistente com área militar restrita.",6,2023-05-07,2023-11-24,"capella-10, capella-9"
36.9,-6.05,"Lebrija, Andalucía, España",Agricultura / Desmatamento,Alta,"Lebrija está localizada em Andalucía, Espanha, uma região conhecida por intensa atividade agrícola mediterrânea. O monitoramento SAR extremamente intensivo (1 imagem a cada 2 dias) com alta resolução (0.342m) sugere acompanhamento de mudanças dinâmicas no uso do solo, típico de monitoramento agrícola ou desmatamento. A ausência de sinais de atividade portuária, industrial ou militar, combinada com a localização interior em área tradicionalmente agrícola, confirma esta classificação.",6,2023-01-02,2023-01-12,capella-8
37.82,-122.48,"San Francisco, California, United States",Base Militar,Alta,"São Francisco está localizada no Pacífico Norte, região conhecida por bases militares americanas. O monitoramento SAR é extremamente intensivo (6 imagens em 11 dias) com altíssima resolução (0.27m), padrão típico de vigilância de instalações militares sensíveis. A ausência de artigos Wikipedia no raio de 100km sugere área restrita ou classificada.",6,2024-11-12,2024-11-24,capella-13
-30.77,121.51,"Kalgoorlie, Western Australia, Australia",Área de Mineração,Alta,"O endereço explicitamente identifica 'Kalgoorlie Consolidated Gold Mine', indicando uma operação de mineração de ouro ativa. A localização em Kalgoorlie, Western Australia, é uma região historicamente conhecida por mineração aurífera. O monitoramento SAR em alta resolução (0.325m) com frequência regular sugere acompanhamento de operações industriais de grande escala típicas de mineração.",4,2023-04-21,2023-05-16,capella-8
-28.82,122.41,"Laverton, Western Australia, Australia",Área de Mineração,Alta,"A localização está em Laverton, Western Australia, uma região conhecida por atividades de mineração aurífera no cinturão de ouro da Austrália Ocidental. O monitoramento SAR com alta resolução (0.325m) e frequência regular (4 imagens em 30 dias) é típico para acompanhar operações de mineração. A ausência de artigos da Wikipedia no raio de 100km confirma tratar-se de uma área remota e industrial, característica das regiões de mineração do interior da Austrália Ocidental.",4,2023-10-17,2023-11-16,capella-10
-20.73,121.74,"Western Australia, Australia",Área de Mineração,Alta,"O local está em Telfer, Western Australia, na região de Pilbara, historicamente conhecida por suas operações de mineração. O endereço específico 'Telfer Village' indica uma vila de mineração típica da região, e a costa oeste da Austrália na região Pilbara é mundialmente reconhecida por suas atividades de extração mineral. O monitoramento SAR com alta resolução (0.325m) e múltiplas plataformas é consistente com o acompanhamento de operações de mineração.",4,2023-09-01,2023-09-13,"capella-10, capella-9"
19.36,-155.21,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.36, -155.21) localizam-se no condado de Hawaiʻi na Big Island, região mundialmente conhecida por intensa atividade vulcânica incluindo os vulcões Kilauea e Mauna Loa. O monitoramento SAR com alta resolução (0.28m) e frequência regular é consistente com o acompanhamento de deformações do terreno e fluxos de lava característicos desta área geologicamente ativa.",4,2024-08-06,2024-09-14,capella-10
19.41,-155.29,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.41, -155.29) estão localizadas no Hawaiʻi County, Big Island do Havaí, região mundialmente conhecida por intensa atividade vulcânica incluindo o Kilauea e Mauna Loa. O monitoramento SAR intensivo (1 imagem a cada 2.7 dias) com alta resolução (0.38m) e múltiplas plataformas indica necessidade de acompanhar mudanças geológicas rápidas típicas de atividade vulcânica. A ausência de artigos Wikipedia no raio de 100km sugere área remota/natural consistente com zona vulcânica ativa.",4,2024-06-04,2024-06-12,"capella-14, capella-9, capella-10"
34.06,-118.68,"Unincorporated Santa Monica Mountains, California, United States",Base Militar,Alta,"A combinação de monitoramento SAR extremamente intensivo (4 imagens em apenas 2 dias) com resolução muito alta (0.27m) em área não incorporada das Santa Monica Mountains, região conhecida por instalações militares e aeroespaciais da Califórnia. A localização no Pacífico Norte (zona de bases americanas) e o padrão de vigilância sugere ativo militar sensível.",4,2024-12-11,2024-12-14,capella-13
34.07,-118.24,"Los Angeles, California, United States",Zona Urbana,Alta,"O endereço indica claramente um bairro residencial (Angeleno Heights) em Los Angeles, uma grande metrópole urbana. O monitoramento intensivo com alta resolução (0.295m) em área urbana densa é consistente com aplicações de planejamento urbano ou monitoramento de infraestrutura civil. Não há evidências de atividades especializadas como portos, mineração ou agricultura que justifiquem outra classificação.",4,2025-08-30,2025-09-02,capella-13
36.15,-5.38,Gibraltar,Base Militar,Alta,Gibraltar é um território britânico ultramarino com histórica importância militar estratégica no Estreito de Gibraltar. O monitoramento SAR extremamente intensivo (4 imagens em 2 dias) com resolução muito alta (0.27m) indica vigilância de infraestrutura crítica militar. A ausência de artigos da Wikipedia no raio de 100km sugere área com informações restringidas por razões de segurança.,4,2025-09-23,2025-09-26,capella-13
36.99,-6.09,"Lebrija, Andalucía, España",Agricultura / Desmatamento,Alta,"Lebrija está localizada na região agrícola de Andalucía, Espanha, conhecida pela produção intensiva de oliveiras e outros cultivos mediterrâneos. O monitoramento SAR de alta intensidade (4 imagens em 4 dias) com resolução de 0.38m sugere acompanhamento de atividades agrícolas sazonais ou mudanças no uso do solo rural. A coordenada (36.99°N) situa-se em zona climática temperada mediterrânea, típica para agricultura intensiva que requer monitoramento frequente.",4,2022-11-19,2022-11-23,"capella-3, capella-8"
37.08,-76.36,"Hampton, Virginia, United States",Base Militar,Alta,"Hampton, Virginia é uma cidade historicamente conhecida por suas instalações militares, incluindo a Base da Força Aérea Langley e o Centro de Pesquisa Langley da NASA. O monitoramento SAR esporádico com alta resolução (0.4m) e baixa variação angular sugere monitoramento de infraestrutura militar sensível, onde imagens frequentes poderiam ser restritivas por questões de segurança nacional.",4,2021-09-04,2022-05-18,capella-2
38.98,-74.91,"Lower Township, New Jersey, United States",Costa / Oceano,Alta,"As coordenadas estão em Erma, uma pequena comunidade (hamlet) em Cape May County, New Jersey, uma região costeira conhecida. A alta resolução SAR (0.325m) e monitoramento frequente sugerem área de interesse ambiental ou costeiro, típico de monitoramento de erosão costeira ou mudanças no litoral. Não há evidências de infraestrutura portuária organizada, bases militares ou atividade industrial.",4,2024-03-19,2024-04-04,"capella-9, capella-10"
39.23,-75.02,"Maurice River Township, New Jersey, United States",Costa / Oceano,Alta,"Maurice River Township está localizado em Cumberland County, New Jersey, uma região costeira conhecida por estuários e baías. As coordenadas (39.2300, -75.0200) situam-se próximas à costa atlântica, e o OSM type 'boundary/administrative' sugere área natural/administrativa sem evidência de porto organizado ou infraestrutura industrial específica. A ausência de artigos da Wikipedia no raio de 100km reforça que se trata de área costeira menos desenvolvida, típica de estuários ou zonas húmidas costeiras.",4,2022-06-26,2022-08-18,capella-3
39.45,-0.32,"Alboraia / Alboraya, Comunitat Valenciana, España",Costa / Oceano,Alta,"As coordenadas (39.4500, -0.3200) situam-se em Alboraia/Alboraya, um município costeiro na região metropolitana de València, Espanha, no Mar Mediterrâneo. O tipo OSM 'place/suburb' indica área residencial costeira sem evidências de infraestrutura portuária organizada. O monitoramento esporádico (62 dias entre imagens) é consistente com monitoramento de zona costeira para mudanças ambientais ou desenvolvimento urbano.",4,2022-01-07,2022-07-12,capella-3
40.1,-123.5,"California, United States",Agricultura / Desmatamento,Média,"Kekawaka é um hamlet rural no interior montanhoso do Trinity County, California, uma região conhecida por atividades agrícolas e florestais. A alta resolução SAR (0.27m) com monitoramento regular a cada 4-5 dias sugere acompanhamento de mudanças na cobertura vegetal ou uso do solo. A ausência de infraestrutura urbana significativa e a localização em área rural montanhosa indicam monitoramento de atividades agrícolas ou manejo florestal.",4,2025-09-23,2025-10-07,capella-13
40.13,-75.05,"Bryn Athyn, Pennsylvania, United States",Zona Urbana,Média,"Localização em Bryn Athyn, área administrativa urbana no condado de Montgomery, Pennsylvania. O monitoramento SAR intensivo (4 imagens em período concentrado) com alta resolução (0.342m) sugere interesse em área desenvolvida. Ausência de sinais específicos de porto, mineração, agricultura ou outras atividades especializadas indica zona urbana/residencial.",4,2024-12-12,2024-12-13,capella-10
40.66,-74.04,"New York, New York, United States",Área Portuária,Alta,"As coordenadas (40.6600, -74.0400) localizam-se em Brooklyn, Nova York, uma área metropolitana costeira historicamente conhecida por suas extensas instalações portuárias e terminais marítimos. A localização precisa corresponde à região do Porto de Nova York e Nova Jersey, um dos maiores complexos portuários dos Estados Unidos. O monitoramento SAR com resolução de 0.4m e frequência semanal é consistente com o acompanhamento de operações portuárias e movimentação de cargas.",4,2021-06-29,2021-07-21,capella-2
41.35,2.17,España,Área Portuária,Alta,"O endereço 'Port Vell' indica explicitamente uma área portuária (Port Vell é o porto histórico de Barcelona). As coordenadas (41.35, 2.17) situam-se na costa mediterrânea da Espanha, e o monitoramento SAR de alta resolução (0.348m) com frequência regular é típico de infraestrutura portuária crítica.",4,2020-12-31,2021-01-13,capella-2
42.24,-83.53,"Van Buren Charter Township, Michigan, United States",Zona Urbana,Média,"Local classificado como hamlet (pequena comunidade) em área temperada do Michigan, sem indicadores específicos de atividades industriais, portuárias, militares ou agrícolas no endereço ou contexto geográfico. O monitoramento esporádico com alta resolução sugere interesse em desenvolvimento urbano ou infraestrutura civil em área residencial/comercial de pequeno porte.",4,2021-08-15,2022-01-11,capella-2
44.89,-72.23,"Coventry, Vermont, United States",Base Militar,Média,"O monitoramento extremamente intensivo (1 imagem a cada 2.7 dias) com alta resolução (0.38m) em uma pequena cidade rural de Vermont sugere interesse militar ou de segurança nacional. A ausência de contexto enciclopédico em 100km indica área remota, e o padrão de vigilância SAR intensiva é típico de instalações sensíveis que requerem monitoramento frequente.",4,2022-06-18,2022-06-26,capella-6
19.39,-155.11,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.39, -155.11) localizam-se no Havaí County na Big Island do Havaí, região mundialmente conhecida por intensa atividade vulcânica com vulcões ativos como Kilauea e Mauna Loa. O monitoramento SAR intensivo (3 imagens em 5 dias) com alta resolução (0.32m) é consistente com vigilância de atividade geológica/vulcânica, especialmente considerando que não há contexto urbano, portuário ou industrial evidente na área.",3,2025-02-05,2025-02-11,capella-13
19.39,-155.1,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.39, -155.10) localizam-se no Havaí County, uma região mundialmente conhecida por intensa atividade vulcânica incluindo o Kilauea e Mauna Loa. O monitoramento SAR intensivo (1 imagem a cada 2.5 dias) com alta resolução (0.26m) é característico do acompanhamento de atividade geológica dinâmica. A combinação de localização no Big Island do Havaí com padrão de monitoramento frequente indica monitoramento de vulcões ativos ou fluxos de lava.",3,2025-02-05,2025-02-11,capella-13
38.39,-0.41,"el Campello, Comunitat Valenciana, España",Costa / Oceano,Alta,"O endereço indica 'Platja de Mutxavista' (praia de Mutxavista) em el Campello, uma localização costeira no Mediterrâneo espanhol. As coordenadas (38.39, -0.41) confirmam posição litorânea na região mediterrânea. A alta resolução SAR (0.22m) com monitoramento de 8 dias sugere interesse em mudanças costeiras, mas sem evidências de infraestrutura portuária organizada, caracterizando área de costa/oceano.",3,2025-05-29,2025-06-07,capella-13
39.54,-121.52,"California, United States",Agricultura / Desmatamento,Média,"Coordenadas em Butte County, California, uma região agrícola do interior com clima temperado adequado para cultivos. O monitoramento esporádico com alta resolução (0.38m) sugere acompanhamento de mudanças sazonais ou alterações no uso do solo agrícola. A localização no interior da Califórnia, distante da costa, reforça o perfil de área rural/agrícola.",3,2024-07-11,2024-09-29,"capella-10, capella-14"
-33.68,150.72,"New South Wales, Australia",Zona Urbana,Média,"O local está em Londonderry, uma área administrativa urbana no conselho de Penrith, NSW, Austrália. O monitoramento SAR intensivo (2 imagens em 0 dias) com alta resolução (0.325m) sugere interesse em desenvolvimento urbano ou infraestrutura civil. Não há evidências de atividades específicas como mineração, porto ou agricultura no endereço fornecido.",2,2023-02-15,2023-02-15,capella-8
-26.83,151.17,"Queensland, Australia",Agricultura / Desmatamento,Alta,"O endereço indica explicitamente 'Marnhull' como uma fazenda (farm) em Queensland, Austrália, com tipo OSM classificado como 'place/farm'. A localização está em zona climática subtropical no interior continental australiano, região conhecida por atividade agrícola intensiva. O monitoramento SAR intensivo (2 imagens em período muito curto) sugere acompanhamento de mudanças na cobertura do solo, típico de monitoramento agrícola ou desmatamento.",2,2021-07-07,2021-07-07,capella-3
-14.51,132.39,"Tindal, Australia",Base Militar,Alta,"Tindal é uma localidade no Northern Territory da Austrália conhecida por abrigar a Base Aérea de Tindal (RAAF Base Tindal), uma importante instalação militar australiana. O monitoramento SAR em alta resolução (0.38m) com múltiplas plataformas e o uso de imagens esporádicas mas precisas é consistente com monitoramento de infraestrutura militar sensível. A ausência de artigos da Wikipedia no raio de 100km sugere área de acesso restrito, típico de instalações militares.",2,2023-07-25,2023-11-24,"capella-9, capella-10"
19.37,-155.2,"Hawaii, United States",Vulcão / Atividade Geológica,Alta,"As coordenadas (19.3700, -155.2000) localizam-se no Hawaiʻi County, Big Island do Havaí, uma região mundialmente conhecida por intensa atividade vulcânica. O monitoramento SAR extremamente intensivo (2 imagens em 0 dias) com altíssima resolução (0.35m) indica acompanhamento de fenômenos dinâmicos como fluxos de lava, deformação do terreno ou outras atividades geológicas que requerem observação contínua.",2,2024-10-10,2024-10-10,capella-13
34.8,-118.07,"California, United States",Base Militar,Alta,"Local no Los Angeles County com monitoramento SAR extremamente intensivo (2 imagens em 0 dias) e resolução muito alta (0.35m), típico de instalações militares sensíveis. A região do Pacífico Norte (EUA) é conhecida por bases militares estratégicas, e o padrão de vigilância sugere infraestrutura de segurança nacional.",2,2024-06-08,2024-06-08,capella-14
39.53,-121.51,"California, United States",Agricultura / Desmatamento,Média,"Butte County, California é uma região predominantemente rural conhecida por agricultura extensiva, incluindo cultivo de arroz, amêndoas e pecuária. A alta resolução SAR (0.38m) com múltiplos satélites sugere monitoramento de mudanças no uso do solo agrícola. A localização no interior da Califórnia, longe da costa, combinada com o tipo administrativo 'boundary' indica monitoramento de áreas rurais/agrícolas em nível de condado.",2,2024-08-08,2024-08-17,"capella-10, capella-14"
34.8,-118.1,"California, United States",Base Militar,Alta,"As coordenadas estão no Condado de Los Angeles, região conhecida por múltiples bases militares e aeroespaciais. O monitoramento SAR com resolução extremamente alta (0.32m) e frequência intensiva sugere instalação militar sob vigilância. A localização no Pacífico Norte (zona de bases militares dos EUA) reforça esta classificação.",1,2025-06-15,2025-06-15,capella-13
34.8,-118.09,"California, United States",Base Militar,Alta,"As coordenadas estão no condado de Los Angeles, região do Pacífico Norte conhecida por bases militares americanas. O monitoramento SAR apresenta características típicas de instalação militar: altíssima resolução (0.22m), monitoramento intensivo com apenas 1 imagem mas em período de 0 dias indicando coleta direcionada, e localização em área administrativa sem contexto urbano claro. A ausência de artigos Wikipedia no raio de 100km sugere área de acesso restrito.",1,2025-06-15,2025-06-15,capella-13
