lat,lon,localizacao,classe,confianca,justificativa,n_imagens,data_inicio,data_fim,plataformas
38.38,-0.41,"Alacant / Alicante, Comunitat Valenciana, España",Costa / Oceano,Alta,"A localização em Alicante, cidade costeira mediterrânea, junto com as coordenadas próximas ao litoral e a referência à Avinguda de Niça (zona costeira) indicam claramente uma área litorânea com interface oceano-terra.",10,2025-05-08,2025-06-07,capella-13
43.14,-77.5,"Town of Penfield, Monroe County, New York, United States",Zona Urbana,Alta,"A localização em Old Penfield Road, Panorama, Town of Penfield indica uma área residencial suburbana no condado de Monroe, Nova York. A alta resolução SAR (0.295m) e frequência de monitoramento sugerem interesse em desenvolvimento urbano ou infraestrutura civil.",10,2025-08-20,2025-09-12,capella-13
-33.86,151.22,"Sydney, New South Wales, Australia",Zona Urbana,Alta,"A localização em Mrs Macquaries Road, Sydney CBD indica uma área urbana central da cidade de Sydney. A alta frequência de monitoramento SAR com resolução de 0.27m é típica para áreas urbanas densas que requerem observação detalhada.",8,2024-11-13,2024-11-22,capella-13
-27.48,153.02,"Brisbane, Queensland, Australia",Zona Urbana,Alta,"A localização corresponde a uma instituição educacional (TAFE Queensland) em South Bank, Brisbane, uma área urbana consolidada. As coordenadas e endereço confirmam tratar-se de zona urbana densamente povoada no centro de Brisbane.",8,2025-07-30,2025-08-08,capella-13
-23.49,148.85,"Queensland, Australia",Área de Mineração,Alta,"O endereço indica explicitamente 'Curragh Mine' e 'Curragh Access Road', confirmando tratar-se de uma mina de carvão localizada em Blackwater, Queensland. A alta resolução SAR (0.295m) e frequência de monitoramento são típicas para acompanhamento de atividades de mineração.",8,2025-03-19,2025-05-03,capella-13
19.41,-155.27,"Hawaiʻi County, Hawaii, United States",Vulcão / Atividade Geológica,Alta,"A localização no Hawaiʻi County e o nome 'Byron Ledge Trail' indicam proximidade com vulcões ativos da região, sendo Byron Ledge uma área conhecida no Parque Nacional dos Vulcões do Havaí. O monitoramento SAR frequente com alta resolução sugere acompanhamento de atividade geológica dinâmica.",8,2025-01-04,2025-03-10,"capella-13, capella-10, capella-14"
34.8,-118.06,"Los Angeles County, California, United States",Zona Urbana,Alta,"As coordenadas localizam-se no Condado de Los Angeles, Califórnia, uma das maiores áreas metropolitanas dos Estados Unidos. A alta resolução SAR (0.425m) e frequência de monitoramento são típicas para análise de desenvolvimento urbano e infraestrutura metropolitana.",8,2021-03-13,2021-09-30,capella-3
35.27,-75.52,"Dare County, North Carolina, United States",Costa / Oceano,Alta,"A localização em Dare County, Carolina do Norte, próximo a Buxton (conhecida área costeira dos Outer Banks), combinada com as coordenadas geográficas próximas ao oceano e o nome 'Soundside Ramp' indicam claramente uma área costeira junto a corpos d'água.",8,2024-05-09,2024-08-17,"capella-10, capella-14, capella-9"
38.33,-77.04,"Dahlgren Center, King George County, Virginia, United States",Base Militar,Alta,"Dahlgren Center em King George County, Virginia, é o local da Naval Surface Warfare Center Dahlgren Division, uma importante instalação militar naval dos EUA. A alta resolução SAR (0.353m) e frequência de monitoramento são típicas para vigilância de instalações militares estratégicas.",8,2022-10-11,2023-02-24,"capella-3, capella-5, capella-8"
38.38,-0.42,"Alacant / Alicante, Comunitat Valenciana, España",Área Portuária,Alta,"A localização em Alicante, cidade costeira espanhola, combinada com o endereço na Avinguda de les Nações (área próxima ao porto) e o monitoramento SAR de alta resolução (0.32m) com frequência elevada sugere monitoramento de atividades portuárias e movimentação de embarcações.",7,2025-05-08,2025-05-26,capella-13
-25.35,131.03,Australia,Outro / Indeterminado,Média,"A localização corresponde ao Kuniya Walk em Uluru-Kata Tjuta National Park, uma área de significância cultural aborígene e turismo ecológico. O monitoramento SAR de alta resolução sugere interesse em mudanças ambientais ou gestão de visitação nesta região árida do centro da Austrália.",6,2025-07-28,2025-08-03,capella-13
-14.51,132.38,"Town of Katherine, Australia",Base Militar,Alta,"A localização em Tindal, Northern Territory, corresponde à RAAF Base Tindal, uma importante base aérea militar australiana. O monitoramento SAR de alta resolução (0.34m) em intervalos regulares é consistente com vigilância de instalações militares estratégicas.",6,2023-05-07,2023-11-24,"capella-10, capella-9"
36.9,-6.05,"Lebrija, Andalucía, España",Agricultura / Desmatamento,Alta,"A localização em Lebrija, Andalucía, uma região tradicionalmente agrícola, combinada com alta frequência de monitoramento SAR (6 imagens em 10 dias) e resolução submétrica, indica monitoramento de atividades agrícolas ou mudanças no uso do solo rural.",6,2023-01-02,2023-01-12,capella-8
37.82,-122.48,"San Francisco, Marin County, California, United States",Costa / Oceano,Alta,"A localização corresponde à Golden Gate Bridge em San Francisco, uma estrutura icônica que conecta terra firme sobre o oceano. As coordenadas e contexto geográfico indicam claramente uma área costeira com interface oceânica.",6,2024-11-12,2024-11-24,capella-13
